File,Line_number,SRC
activemq-core/src/main/java/org/apache/activemq/store/jdbc/JDBCPersistenceAdapter.java,393,answer = new TransactionContext(getDataSource());
activemq-core/src/main/java/org/apache/activemq/store/jdbc/JDBCPersistenceAdapter.java,401,return new TransactionContext(getDataSource());
activemq-core/src/main/java/org/apache/activemq/store/jdbc/JDBCPersistenceAdapter.java,217,cleanupTicket = getScheduledThreadPoolExecutor().scheduleAtFixedRate(new Runnable() {
activemq-core/src/main/java/org/apache/activemq/store/jdbc/JDBCPersistenceAdapter.java,360,"LOG.warn(""Database "" + kind + "" driver override not found for : ["" + dirverName"
activemq-core/src/main/java/org/apache/activemq/store/jdbc/JDBCPersistenceAdapter.java,123,"MessageStore rc = new JDBCMessageStore(this, getAdapter(), wireFormat, destination);"
activemq-core/src/main/java/org/apache/activemq/store/jdbc/JDBCPersistenceAdapter.java,131,"TopicMessageStore rc = new JDBCTopicMessageStore(this, getAdapter(), wireFormat, destination);"
activemq-core/src/main/java/org/apache/activemq/store/jdbc/JDBCPersistenceAdapter.java,482,"LOG.debug(s, e);"
activemq-core/src/main/java/org/apache/activemq/store/jdbc/TransactionContext.java,65,connection.setTransactionIsolation(Connection.TRANSACTION_READ_UNCOMMITTED);
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,866,do {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,867,pageInMessages();
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,922,pageInMessages();
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,982,pageInMessages();
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1357,if ((force || !consumers.isEmpty()) && toPageIn > 0) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1426,wakeup();
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,201,if (broker.isExpired(message)) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,202,"messageExpired(createConnectionContext(), createMessageReference(message));"
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,204,destinationStatistics.getMessages().increment();
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,588,"doBrowse(true, browsedMessages, this.getMaxExpirePageSize());"
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,752,"doBrowse(false, l, getMaxBrowsePageSize());"
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,756,"public void doBrowse(boolean forcePageIn, List<Message> l, int max) {"
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,759,pageInMessages(forcePageIn);
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,790,MessageReference node = messages.next();
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,791,messages.rollback(node.getMessageId());
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,792,if (node != null) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,796,} else if (l.contains(node.getMessage()) == false) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1369,if (!broker.isExpired(node)) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1372,} else {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,1373,"messageExpired(createConnectionContext(), ref);"
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,87,protected TaskRunnerFactory taskFactory;
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,111,wakeup();
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,170,if (isOptimizedDispatch()) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,171,"this.taskRunner = taskFactory.createTaskRunner(this, ""TempQueue:  "" + destination.getPhysicalName());"
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,172,}else {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,173,final Queue queue = this;
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,174,this.executor =  Executors.newSingleThreadExecutor(new ThreadFactory() {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,175,public Thread newThread(Runnable runnable) {
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,176,"Thread thread = new QueueThread(runnable, ""QueueThread:""+destination, queue);"
activemq-core/src/main/java/org/apache/activemq/broker/region/Queue.java,177,thread.setDaemon(true);
