File,Line_number,SRC
camel-core/src/main/java/org/apache/camel/impl/DefaultRoute.java,88,getServices().add(service);
camel-core/src/main/java/org/apache/camel/impl/RouteService.java,121,"LOG.debug(""Starting services on route: {}"", route.getId());"
camel-core/src/main/java/org/apache/camel/impl/RouteService.java,291,"LOG.debug(""Stopping child service on route: {} -> {}"", route.getId(), service);"
camel-core/src/main/java/org/apache/camel/component/file/GenericFile.java,282,"File path = new File(endpointPath, name);"
camel-core/src/main/java/org/apache/camel/util/FileUtil.java,133,if (name == null) {
camel-core/src/main/java/org/apache/camel/util/FileUtil.java,134,return null;
camel-core/src/main/java/org/apache/camel/util/FileUtil.java,136,"while (name.endsWith(""/"") || name.endsWith(File.separator)) {"
camel-core/src/main/java/org/apache/camel/util/FileUtil.java,137,"name = name.substring(0, name.length() - 1);"
camel-core/src/main/java/org/apache/camel/builder/xml/MessageVariableResolver.java,100,return Void.class;
camel-core/src/main/java/org/apache/camel/processor/RedeliveryErrorHandler.java,1059,"ServiceHelper.stopServices(deadLetter, output, outputAsync);"
camel-core/src/main/java/org/apache/camel/util/ServiceHelper.java,154,public static void stopAndShutdownService(Service value) throws Exception {
camel-core/src/test/java/org/apache/camel/component/seda/SedaTimeoutDisabledTest.java,30,public void testSedaNoTineout() throws Exception {
camel-core/src/test/java/org/apache/camel/component/seda/SedaTimeoutDisabledTest.java,33,"assertEquals(""Bye World"", out.get(60, TimeUnit.SECONDS));"
camel-core/src/test/java/org/apache/camel/component/seda/SedaTimeoutDisabledTest.java,41,"from(""seda:foo"").to(""mock:before"").delay(2000).transform(body().prepend(""Bye "")).to(""mock:result"");"
camel-core/src/test/java/org/apache/camel/component/seda/SedaTimeoutTest.java,32,public void testSedaNoTineout() throws Exception {
camel-core/src/test/java/org/apache/camel/component/seda/SedaTimeoutTest.java,37,public void testSedaTineout() throws Exception {
camel-core/src/test/java/org/apache/camel/component/seda/SedaTimeoutTest.java,38,"Future<String> out = template.asyncRequestBody(""seda:foo?timeout=100"", ""World"", String.class);"
camel-core/src/test/java/org/apache/camel/component/seda/SedaTimeoutTest.java,53,"from(""seda:foo"").to(""mock:before"").delay(250).transform(body().prepend(""Bye "")).to(""mock:result"");"
camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,1355,firstStartDone = true;
camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,1592,boolean startable;
camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,1598,} else if (consumer instanceof StatefulService) {
camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,1601,} else {
camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,382,answer.add(oldEndpoint);
camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,383,stopServices(oldEndpoint);
camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,145,private Set<Route> routes;
camel-core/src/main/java/org/apache/camel/impl/DefaultCamelContext.java,567,public synchronized List<Route> getRoutes() {
