File,Line_number,SRC
src/main/org/codehaus/groovy/ant/Groovyc.java,661,"} else if (key.indexOf(""nowarn"") != -1) {"
src/main/org/codehaus/groovy/ant/Groovyc.java,662,"jointOptions.add(""-Fnowarn"" + e.getValue());"
src/main/org/codehaus/groovy/ant/Groovyc.java,673,"jointOptions.add(""-J"" + key + ""="" + e.getValue());"
src/test/org/codehaus/groovy/classgen/JO.java,22,"ASMifierClassVisitor.main(new String[]{""target/test-classes/spectralnorm.class""});"
src/main/org/codehaus/groovy/classgen/Verifier.java,793,if (!mr.isDerivedFrom(testmr)) {
src/main/org/codehaus/groovy/classgen/Verifier.java,50,private ClassNode classNode;
src/main/org/codehaus/groovy/classgen/Verifier.java,147,if (!node.isDerivedFromGroovyObject()) {
src/main/org/codehaus/groovy/classgen/Verifier.java,148,node.addInterface(ClassHelper.make(GroovyObject.class));
src/main/org/codehaus/groovy/classgen/Verifier.java,150,PropertyNode metaClassProperty =
src/main/org/codehaus/groovy/classgen/Verifier.java,151,"node.addProperty(""metaClass"", ACC_PUBLIC, ClassHelper.METACLASS_TYPE, new BytecodeExpression() {"
src/main/org/codehaus/groovy/classgen/Verifier.java,158,"mv.visitFieldInsn(GETFIELD, classInternalName,""metaClass"",""Lgroovy/lang/MetaClass;"");"
src/main/org/codehaus/groovy/classgen/Verifier.java,161,public ClassNode getType() {
src/main/org/codehaus/groovy/classgen/Verifier.java,162,return ClassHelper.METACLASS_TYPE;
src/main/org/codehaus/groovy/classgen/Verifier.java,164,"}, null, null);"
src/main/org/codehaus/groovy/classgen/Verifier.java,165,metaClassProperty.setSynthetic(true);
src/main/org/codehaus/groovy/classgen/Verifier.java,166,FieldNode metaClassField = metaClassProperty.getField();
src/main/org/codehaus/groovy/classgen/Verifier.java,167,metaClassField.setModifiers(metaClassField.getModifiers() | ACC_TRANSIENT);
src/main/org/codehaus/groovy/classgen/Verifier.java,169,List getMetaClassCode = new LinkedList();
src/main/org/codehaus/groovy/classgen/Verifier.java,170,getMetaClassCode.add( new BytecodeInstruction(){
src/main/org/codehaus/groovy/classgen/Verifier.java,171,public void visit(MethodVisitor mv) {
src/main/org/codehaus/groovy/classgen/Verifier.java,172,Label nullLabel = new Label();
src/main/org/codehaus/groovy/classgen/Verifier.java,174,"mv.visitVarInsn(ALOAD, 0);"
src/main/org/codehaus/groovy/classgen/Verifier.java,175,"mv.visitFieldInsn(GETFIELD, classInternalName,""metaClass"",""Lgroovy/lang/MetaClass;"");"
src/main/org/codehaus/groovy/classgen/Verifier.java,120,mv.visitInsn(DUP);
src/main/org/codehaus/groovy/classgen/Verifier.java,177,"mv.visitJumpInsn(IFNULL, nullLabel);"
src/main/org/codehaus/groovy/classgen/Verifier.java,178,mv.visitInsn(ARETURN);
src/main/org/codehaus/groovy/classgen/Verifier.java,180,mv.visitLabel(nullLabel);
src/main/org/codehaus/groovy/classgen/Verifier.java,181,mv.visitInsn(POP);
src/main/org/codehaus/groovy/classgen/Verifier.java,182,"mv.visitVarInsn(ALOAD, 0);"
src/main/org/codehaus/groovy/classgen/Verifier.java,183,mv.visitInsn(DUP);
src/main/org/codehaus/groovy/classgen/Verifier.java,184,"mv.visitMethodInsn(INVOKEVIRTUAL,classInternalName,""$getStaticMetaClass"",""()Lgroovy/lang/MetaClass;"");"
src/main/org/codehaus/groovy/classgen/Verifier.java,185,"mv.visitFieldInsn(PUTFIELD, classInternalName,""metaClass"",""Lgroovy/lang/MetaClass;"");"
src/main/org/codehaus/groovy/classgen/Verifier.java,186,"mv.visitVarInsn(ALOAD, 0);"
src/main/org/codehaus/groovy/classgen/Verifier.java,187,"mv.visitFieldInsn(GETFIELD, classInternalName,""metaClass"",""Lgroovy/lang/MetaClass;"");"
src/main/org/codehaus/groovy/classgen/Verifier.java,188,mv.visitInsn(ARETURN);
src/main/org/codehaus/groovy/classgen/Verifier.java,191,node.addSyntheticMethod(
