File,Line_number,SRC
src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java,36,import java.util.concurrent.SynchronousQueue;
src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java,220,"executor = new ThreadPoolExecutor(1, numThreads,"
src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java,222,new SynchronousQueue<Runnable>());
src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java,2492,"FIRST_REGION_STARTKEY_NOT_EMPTY, DUPE_STARTKEYS,"
src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java,2993,"System.err.println(""   -repairHoles      Shortcut for -fixAssignments -fixMeta -fixHdfsHoles -fixHdfsOrphans"");"
src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java,674,"LOG.error(""Unable to read .tableinfo from "" + hbaseRoot, ioe);"
src/main/java/org/apache/hadoop/hbase/util/HBaseFsck.java,675,throw ioe;
src/main/java/org/apache/hadoop/hbase/master/AssignmentManager.java,1121,if (rs.isSplitting() || rs.isSplit()) {
src/main/java/org/apache/hadoop/hbase/master/AssignmentManager.java,336,"void joinCluster(final Set<ServerName> onlineServers) throws IOException,"
src/main/java/org/apache/hadoop/hbase/master/AssignmentManager.java,348,"Map<ServerName, List<Pair<HRegionInfo, Result>>> deadServers = rebuildUserRegions(onlineServers);"
src/main/java/org/apache/hadoop/hbase/master/AssignmentManager.java,2452,"Map<ServerName, List<Pair<HRegionInfo, Result>>> rebuildUserRegions("
src/main/java/org/apache/hadoop/hbase/master/AssignmentManager.java,2453,final Set<ServerName> onlineServers)
src/main/java/org/apache/hadoop/hbase/master/AssignmentManager.java,2509,"regions.put(regionInfo, regionLocation);"
src/main/java/org/apache/hadoop/hbase/master/AssignmentManager.java,2510,"addToServers(regionLocation, regionInfo);"
src/main/java/org/apache/hadoop/hbase/master/AssignmentManager.java,2240,"Map<HRegionInfo, ServerName> allRegions ="
src/main/java/org/apache/hadoop/hbase/master/AssignmentManager.java,2241,"MetaReader.fullScan(catalogTracker, this.zkTable.getDisabledTables(), true);"
