File,Line_number,SRC
shims/src/common/java/org/apache/hadoop/fs/ProxyFileSystem.java,48,private Path swizzleParamPath(Path p) {
shims/src/common/java/org/apache/hadoop/fs/ProxyFileSystem.java,60,"private FileStatus swizzleFileStatus(FileStatus orig, boolean isParam) {"
shims/src/common/java/org/apache/hadoop/fs/ProxyLocalFileSystem.java,64,"fs = new ProxyFileSystem(localFs, URI.create(proxyUriString));"
hcatalog/core/src/main/java/org/apache/hive/hcatalog/data/transfer/impl/HCatInputFormatReader.java,66,"job, re.getDbName(), re.getTableName()).setFilter(re.getFilterString());"
hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/HCatInputFormat.java,44,@Deprecated
hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/HCatInputFormat.java,45,"public static void setInput(Job job, InputJobInfo inputJobInfo) throws IOException {"
hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/HCatInputFormat.java,46,"setInput(job.getConfiguration(), inputJobInfo);"
hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/HCatInputFormat.java,52,@Deprecated
hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/HCatInputFormat.java,53,"public static void setInput(Configuration conf, InputJobInfo inputJobInfo) throws IOException {"
hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/HCatInputFormat.java,54,"setInput(conf, inputJobInfo.getDatabaseName(), inputJobInfo.getTableName())"
hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/HCatInputFormat.java,55,.setFilter(inputJobInfo.getFilter())
hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/HCatInputFormat.java,56,.setProperties(inputJobInfo.getProperties());
hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/HCatInputFormat.java,62,"public static HCatInputFormat setInput(Job job, String dbName, String tableName) throws IOException {"
hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/HCatInputFormat.java,63,"return setInput(job.getConfiguration(), dbName, tableName);"
hcatalog/core/src/main/java/org/apache/hive/hcatalog/mapreduce/HCatInputFormat.java,74,"public static HCatInputFormat setInput(Configuration conf, String dbName, String tableName)"
