File,Line_number,SRC
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,27,import org.apache.lucene.analysis.BaseTokenStreamTestCase;
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,28,import org.apache.lucene.analysis.CachingTokenFilter;
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,29,import org.apache.lucene.analysis.Token;
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,30,import org.apache.lucene.analysis.TokenStream;
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,43,"super(name, new HashSet(Arrays.asList(new String[]{"
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,44,"""testBehavingAsShingleFilter"", ""testMatrix"""
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,77,"assertNext(ts, ""please"", 0, 6);"
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,78,"assertNext(ts, ""please divide"", 0, 13);"
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,79,"assertNext(ts, ""divide"", 7, 13);"
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,80,"assertNext(ts, ""divide this"", 7, 18);"
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,81,"assertNext(ts, ""this"", 14, 18);"
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,82,"assertNext(ts, ""this sentence"", 14, 27);"
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,83,"assertNext(ts, ""sentence"", 19, 27);"
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,84,"assertNext(ts, ""sentence into"", 19, 32);"
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,85,"assertNext(ts, ""into"", 28, 32);"
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,86,"assertNext(ts, ""into shingles"", 28, 39);"
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,87,"assertNext(ts, ""shingles"", 33, 39);"
contrib/analyzers/common/src/test/org/apache/lucene/analysis/shingle/TestShingleMatrixFilter.java,90,assertFalse(ts.incrementToken());
src/java/org/apache/lucene/search/Scorer.java,113,return doc == NO_MORE_DOCS;
src/test/org/apache/lucene/search/TestBoolean2.java,162,"q1 = randBoolQuery(new Random(rnd.nextLong()), level, field, vals, null);"
src/test/org/apache/lucene/search/TestBoolean2.java,200,"public static BooleanQuery randBoolQuery(Random rnd, int level, String field, String[] vals, Callback cb) {"
src/test/org/apache/lucene/search/TestBoolean2.java,208,"if (qType < 7) q = new TermQuery(new Term(field, vals[rnd.nextInt(vals.length)]));"
src/test/org/apache/lucene/search/TestBoolean2.java,209,"else q = randBoolQuery(rnd, level-1, field, vals, cb);"
src/test/org/apache/lucene/search/TestBoolean2.java,213,if (r<2) occur=BooleanClause.Occur.MUST_NOT;
src/test/org/apache/lucene/search/TestBoolean2.java,214,else if (r<5) occur=BooleanClause.Occur.MUST;
src/test/org/apache/lucene/search/TestBoolean2.java,215,else occur=BooleanClause.Occur.SHOULD;
src/test/org/apache/lucene/search/TestBoolean2.java,62,"Query q = (new QueryParser(field, new WhitespaceAnalyzer())).parse(queryText);"
src/test/org/apache/lucene/search/TestBooleanMinShouldMatch.java,321,"BooleanQuery q1 = TestBoolean2.randBoolQuery(new Random(seed), lev, field, vals, null);"
src/test/org/apache/lucene/search/TestBooleanMinShouldMatch.java,323,"BooleanQuery q2 = TestBoolean2.randBoolQuery(new Random(seed), lev, field, vals, null);"
src/java/org/apache/lucene/index/DirectoryReader.java,797,return SegmentInfos.readCurrentVersion(directory) == segmentInfos.getVersion();
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,89,"private PayloadNearQuery newPhraseQuery (String fieldName, String phrase, boolean inOrder) {"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,90,int n;
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,91,"String[] words = phrase.split(""[\\s]+"");"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,92,SpanQuery clauses[] = new SpanQuery[words.length];
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,93,for (int i=0;i<clauses.length;i++) {
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,94,"clauses[i] = new PayloadTermQuery(new Term(fieldName, words[i]), new AveragePayloadFunction());"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,96,"return new PayloadNearQuery(clauses, 0, inOrder);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,99,protected void setUp() throws Exception {
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,100,super.setUp();
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,101,RAMDirectory directory = new RAMDirectory();
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,102,PayloadAnalyzer analyzer = new PayloadAnalyzer();
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,103,IndexWriter writer
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,104,"= new IndexWriter(directory, analyzer, true, IndexWriter.MaxFieldLength.LIMITED);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,105,writer.setSimilarity(similarity);
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,107,for (int i = 0; i < 1000; i++) {
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,108,Document doc = new Document();
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,109,"doc.add(new Field(""field"", English.intToEnglish(i), Field.Store.YES, Field.Index.ANALYZED));"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,110,writer.addDocument(doc);
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,112,writer.optimize();
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,113,writer.close();
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,115,"searcher = new IndexSearcher(directory, true);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,116,searcher.setSimilarity(similarity);
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,119,public void test() throws IOException {
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,120,PayloadNearQuery query;
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,121,TopDocs hits;
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,123,"query = newPhraseQuery(""field"", ""twenty two"", true);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,124,QueryUtils.check(query);
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,128,"hits = searcher.search(query, null, 100);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,129,"assertTrue(""hits is null and it shouldn't be"", hits != null);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,130,"assertTrue(""should be 10 hits"", hits.totalHits == 10);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,131,for (int j = 0; j < hits.scoreDocs.length; j++) {
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,132,ScoreDoc doc = hits.scoreDocs[j];
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,133,"assertTrue(doc.score + "" does not equal: "" + 3, doc.score == 3);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,135,for (int i=1;i<10;i++) {
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,136,"query = newPhraseQuery(""field"", English.intToEnglish(i)+"" hundred"", true);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,139,"hits = searcher.search(query, null, 100);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,140,"assertTrue(""hits is null and it shouldn't be"", hits != null);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,141,"assertTrue(""should be 100 hits"", hits.totalHits == 100);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,142,for (int j = 0; j < hits.scoreDocs.length; j++) {
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,143,ScoreDoc doc = hits.scoreDocs[j];
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,146,"assertTrue(doc.score + "" does not equal: "" + 3, doc.score == 3);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,151,public void testLongerSpan() throws IOException {
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,152,PayloadNearQuery query;
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,153,TopDocs hits;
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,154,"query = newPhraseQuery(""field"", ""nine hundred ninety nine"", true);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,155,"hits = searcher.search(query, null, 100);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,156,ScoreDoc doc = hits.scoreDocs[0];
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,159,"assertTrue(""hits is null and it shouldn't be"", hits != null);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,160,"assertTrue(""there should only be one hit"", hits.totalHits == 1);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,162,"assertTrue(doc.score + "" does not equal: "" + 3, doc.score == 3);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,165,public void testComplexNested() throws IOException {
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,166,PayloadNearQuery query;
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,167,TopDocs hits;
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,171,"SpanQuery q1 = newPhraseQuery(""field"", ""nine hundred"", true);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,172,"SpanQuery q2 = newPhraseQuery(""field"", ""ninety nine"", true);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,173,"SpanQuery q3 = newPhraseQuery(""field"", ""nine ninety"", false);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,174,"SpanQuery q4 = newPhraseQuery(""field"", ""hundred nine"", false);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,175,"SpanQuery[]clauses = new SpanQuery[] {new PayloadNearQuery(new SpanQuery[] {q1,q2}, 0, true), new PayloadNearQuery(new SpanQuery[] {q3,q4}, 0, false)};"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,176,"query = new PayloadNearQuery(clauses, 0, false);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,177,"hits = searcher.search(query, null, 100);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,178,"assertTrue(""hits is null and it shouldn't be"", hits != null);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,180,"assertTrue(""should only be one hit"", hits.scoreDocs.length == 1);"
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,182,ScoreDoc doc = hits.scoreDocs[0];
src/test/org/apache/lucene/search/payloads/TestPayloadNearQuery.java,185,"assertTrue(doc.score + "" does not equal: "" + 3, doc.score == 3);"
