File,Line_number,SRC
lucene/src/test-framework/org/apache/lucene/util/_TestUtil.java,49,"return new File(LuceneTestCase.TEMP_DIR, desc + ""."" + new Random().nextLong());"
lucene/src/test-framework/org/apache/lucene/util/_TestUtil.java,269,final int end = r.nextInt(maxLength);
lucene/src/test/org/apache/lucene/index/TestCompoundFile.java,60,"File file = new File(TEMP_DIR, ""testIndex"");"
lucene/src/test/org/apache/lucene/index/TestCompoundFile.java,61,_TestUtil.rmDir(file);
lucene/src/test/org/apache/lucene/index/TestDoc.java,57,"workDir = new File(TEMP_DIR,""TestDoc"");"
lucene/src/test/org/apache/lucene/index/TestDoc.java,60,"indexDir = new File(workDir, ""testIndex"");"
lucene/src/test/org/apache/lucene/index/TestFieldsReader.java,291,"File file = new File(TEMP_DIR, ""lazyDir"" + userName);"
lucene/src/test/org/apache/lucene/index/TestFieldsReader.java,292,_TestUtil.rmDir(file);
lucene/src/test/org/apache/lucene/index/TestFieldsReader.java,473,"File indexDir = new File(TEMP_DIR, ""testfieldswriterexceptions"");"
lucene/src/test/org/apache/lucene/index/TestIndexReader.java,1113,"File dirFile = new File(TEMP_DIR, ""deletetest"");"
lucene/src/test/org/apache/lucene/index/TestIndexReaderReopen.java,1087,"indexDir = new File(TEMP_DIR, ""IndexReaderReopen"");"
lucene/src/test/org/apache/lucene/index/TestIndexWriter.java,2746,"Directory dir = newFSDirectory(new File(TEMP_DIR, ""emptyFSDirNoLock""), NoLockFactory.getNoLockFactory());"
lucene/src/test/org/apache/lucene/index/TestIndexWriterLockRelease.java,42,"this.__test_dir = new File(TEMP_DIR, ""testIndexWriter"");"
lucene/src/test/org/apache/lucene/index/TestIndexWriterOnJRECrash.java,44,"tempDir = File.createTempFile(""jrecrash"", ""tmp"", TEMP_DIR);"
lucene/src/test/org/apache/lucene/store/TestBufferedIndexInput.java,243,"File indexDir = new File(TEMP_DIR, ""testSetBufferSize"");"
lucene/src/test/org/apache/lucene/store/TestDirectory.java,45,"File path = new File(TEMP_DIR, ""testDirectInstantiation"");"
lucene/src/test/org/apache/lucene/store/TestDirectory.java,137,"checkDirectoryFilter(newFSDirectory(new File(TEMP_DIR,""test"")));"
lucene/src/test/org/apache/lucene/store/TestDirectory.java,154,"File path = new File(TEMP_DIR, ""testsubdir"");"
lucene/src/test/org/apache/lucene/store/TestDirectory.java,167,"File path = new File(TEMP_DIR, ""testnotdir"");"
lucene/src/test/org/apache/lucene/store/TestMultiMMap.java,43,"workDir = new File(TEMP_DIR, ""TestMultiMMap"");"
lucene/src/test/org/apache/lucene/store/TestRAMDirectory.java,52,"indexDir = new File(TEMP_DIR, ""RAMDirIndex"");"
