Evaluation_setting,ML,Release,Precision,Recall,F1-score,MCC
Within-release,RF,activemq-5.0.0,0.6,0.23076923076923078,0.33333333333333337,0.3460045369010298
Within-release,RF,activemq-5.0.0,0.6666666666666666,0.15384615384615385,0.25,0.3000230271634711
Within-release,RF,activemq-5.0.0,1.0,0.46153846153846156,0.631578947368421,0.6662461893831675
Within-release,RF,activemq-5.0.0,1.0,0.3076923076923077,0.47058823529411764,0.5410392709623699
Within-release,RF,activemq-5.0.0,0.75,0.25,0.375,0.41386989563609716
Within-release,RF,activemq-5.0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.4477655083790516
Within-release,RF,activemq-5.0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.4477655083790516
Within-release,RF,activemq-5.0.0,0.5,0.08333333333333333,0.14285714285714285,0.1850228733669098
Within-release,RF,activemq-5.0.0,0.8,0.3333333333333333,0.47058823529411764,0.49779277678299105
Within-release,RF,activemq-5.0.0,1.0,0.16666666666666666,0.2857142857142857,0.3971222647875137
Within-release,RF,activemq-5.0.0,0.8571428571428571,0.46153846153846156,0.6,0.6109020526343453
Within-release,RF,activemq-5.0.0,1.0,0.07692307692307693,0.14285714285714288,0.2683525540957064
Within-release,RF,activemq-5.0.0,0.4,0.15384615384615385,0.2222222222222222,0.21573589651398867
Within-release,RF,activemq-5.0.0,1.0,0.15384615384615385,0.2666666666666667,0.38052119532359524
Within-release,RF,activemq-5.0.0,1.0,0.16666666666666666,0.2857142857142857,0.3971222647875137
Within-release,RF,activemq-5.0.0,1.0,0.08333333333333333,0.15384615384615385,0.280056016805602
Within-release,RF,activemq-5.0.0,1.0,0.3333333333333333,0.5,0.5646597025732799
Within-release,RF,activemq-5.0.0,1.0,0.25,0.4,0.48768620837362
Within-release,RF,activemq-5.0.0,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.5838775401564222
Within-release,RF,activemq-5.0.0,0.5,0.16666666666666666,0.25,0.26308008869891447
Within-release,RF,activemq-5.0.0,0.5,0.3076923076923077,0.380952380952381,0.3582080196717883
Within-release,RF,activemq-5.0.0,0.8333333333333334,0.38461538461538464,0.5263157894736842,0.5470032634424301
Within-release,RF,activemq-5.0.0,1.0,0.15384615384615385,0.2666666666666667,0.38052119532359524
Within-release,RF,activemq-5.0.0,1.0,0.38461538461538464,0.5555555555555556,0.606541817675112
Within-release,RF,activemq-5.0.0,1.0,0.25,0.4,0.48768620837362
Within-release,RF,activemq-5.0.0,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.5232852584133874
Within-release,RF,activemq-5.0.0,0.75,0.25,0.375,0.41386989563609716
Within-release,RF,activemq-5.0.0,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.5715595018720835
Within-release,RF,activemq-5.0.0,1.0,0.08333333333333333,0.15384615384615385,0.280056016805602
Within-release,RF,activemq-5.0.0,1.0,0.08333333333333333,0.15384615384615385,0.280056016805602
Within-release,RF,activemq-5.0.0,0.6666666666666666,0.15384615384615385,0.25,0.3000230271634711
Within-release,RF,activemq-5.0.0,0.7142857142857143,0.38461538461538464,0.5,0.5002016806804707
Within-release,RF,activemq-5.0.0,0.6666666666666666,0.15384615384615385,0.25,0.3000230271634711
Within-release,RF,activemq-5.0.0,1.0,0.23076923076923078,0.375,0.4672925024846984
Within-release,RF,activemq-5.0.0,0.75,0.25,0.375,0.41386989563609716
Within-release,RF,activemq-5.0.0,1.0,0.16666666666666666,0.2857142857142857,0.3971222647875137
Within-release,RF,activemq-5.0.0,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.3140403614527098
Within-release,RF,activemq-5.0.0,1.0,0.5,0.6666666666666666,0.6953534953651154
Within-release,RF,activemq-5.0.0,0.8,0.3333333333333333,0.47058823529411764,0.49779277678299105
Within-release,RF,activemq-5.0.0,1.0,0.16666666666666666,0.2857142857142857,0.3971222647875137
Within-release,RF,activemq-5.0.0,0.75,0.23076923076923078,0.3529411764705882,0.39578867122957456
Within-release,RF,activemq-5.0.0,0.6666666666666666,0.3076923076923077,0.42105263157894735,0.42776033750169273
Within-release,RF,activemq-5.0.0,0.0,0.0,0.0,0.0
Within-release,RF,activemq-5.0.0,0.8,0.3076923076923077,0.4444444444444444,0.47627317728807084
Within-release,RF,activemq-5.0.0,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.3140403614527098
Within-release,RF,activemq-5.0.0,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.5715595018720835
Within-release,RF,activemq-5.0.0,1.0,0.16666666666666666,0.2857142857142857,0.3971222647875137
Within-release,RF,activemq-5.0.0,0.5,0.08333333333333333,0.14285714285714285,0.1850228733669098
Within-release,RF,activemq-5.0.0,1.0,0.16666666666666666,0.2857142857142857,0.3971222647875137
Within-release,RF,activemq-5.0.0,1.0,0.25,0.4,0.48768620837362
Within-release,RF,activemq-5.0.0,0.6666666666666666,0.15384615384615385,0.25,0.3000230271634711
Within-release,RF,activemq-5.0.0,0.8,0.3076923076923077,0.4444444444444444,0.47627317728807084
Within-release,RF,activemq-5.0.0,0.8,0.3076923076923077,0.4444444444444444,0.47627317728807084
Within-release,RF,activemq-5.0.0,0.6,0.23076923076923078,0.33333333333333337,0.3460045369010298
Within-release,RF,activemq-5.0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.4477655083790516
Within-release,RF,activemq-5.0.0,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.3140403614527098
Within-release,RF,activemq-5.0.0,1.0,0.16666666666666666,0.2857142857142857,0.3971222647875137
Within-release,RF,activemq-5.0.0,0.8,0.3333333333333333,0.47058823529411764,0.49779277678299105
Within-release,RF,activemq-5.0.0,1.0,0.16666666666666666,0.2857142857142857,0.3971222647875137
Within-release,RF,activemq-5.0.0,1.0,0.25,0.4,0.48768620837362
Within-release,RF,activemq-5.0.0,0.5,0.07692307692307693,0.13333333333333336,0.17620725806177848
Within-release,RF,activemq-5.0.0,1.0,0.07692307692307693,0.14285714285714288,0.2683525540957064
Within-release,RF,activemq-5.0.0,1.0,0.07692307692307693,0.14285714285714288,0.2683525540957064
Within-release,RF,activemq-5.0.0,0.8333333333333334,0.38461538461538464,0.5263157894736842,0.5470032634424301
Within-release,RF,activemq-5.0.0,1.0,0.16666666666666666,0.2857142857142857,0.3971222647875137
Within-release,RF,activemq-5.0.0,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.5715595018720835
Within-release,RF,activemq-5.0.0,0.5,0.08333333333333333,0.14285714285714285,0.1850228733669098
Within-release,RF,activemq-5.0.0,0.6,0.25,0.35294117647058826,0.36255427673212065
Within-release,RF,activemq-5.0.0,1.0,0.3333333333333333,0.5,0.5646597025732799
Within-release,RF,activemq-5.0.0,1.0,0.25,0.4,0.48768620837362
Within-release,RF,activemq-5.0.0,0.8571428571428571,0.46153846153846156,0.6,0.6109020526343453
Within-release,RF,activemq-5.0.0,1.0,0.23076923076923078,0.375,0.4672925024846984
Within-release,RF,activemq-5.0.0,1.0,0.23076923076923078,0.375,0.4672925024846984
Within-release,RF,activemq-5.0.0,1.0,0.38461538461538464,0.5555555555555556,0.606541817675112
Within-release,RF,activemq-5.0.0,1.0,0.16666666666666666,0.2857142857142857,0.3971222647875137
Within-release,RF,activemq-5.0.0,0.75,0.25,0.375,0.41386989563609716
Within-release,RF,activemq-5.0.0,1.0,0.08333333333333333,0.15384615384615385,0.280056016805602
Within-release,RF,activemq-5.0.0,0.5,0.08333333333333333,0.14285714285714285,0.1850228733669098
Within-release,RF,activemq-5.0.0,0.0,0.0,0.0,-0.019094728418563772
Within-release,RF,activemq-5.0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.4477655083790516
Within-release,RF,activemq-5.0.0,1.0,0.15384615384615385,0.2666666666666667,0.38052119532359524
Within-release,RF,activemq-5.0.0,0.8333333333333334,0.38461538461538464,0.5263157894736842,0.5470032634424301
Within-release,RF,activemq-5.0.0,0.6666666666666666,0.3076923076923077,0.42105263157894735,0.42776033750169273
Within-release,RF,activemq-5.0.0,1.0,0.15384615384615385,0.2666666666666667,0.38052119532359524
Within-release,RF,activemq-5.0.0,1.0,0.16666666666666666,0.2857142857142857,0.3971222647875137
Within-release,RF,activemq-5.0.0,0.5,0.08333333333333333,0.14285714285714285,0.1850228733669098
Within-release,RF,activemq-5.0.0,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.3140403614527098
Within-release,RF,activemq-5.0.0,1.0,0.4166666666666667,0.5882352941176471,0.6330312768338614
Within-release,RF,activemq-5.0.0,1.0,0.3333333333333333,0.5,0.5646597025732799
Within-release,RF,activemq-5.0.0,1.0,0.16666666666666666,0.2857142857142857,0.3971222647875137
Within-release,RF,activemq-5.0.0,1.0,0.38461538461538464,0.5555555555555556,0.606541817675112
Within-release,RF,activemq-5.0.0,1.0,0.15384615384615385,0.2666666666666667,0.38052119532359524
Within-release,RF,activemq-5.0.0,0.8,0.3076923076923077,0.4444444444444444,0.47627317728807084
Within-release,RF,activemq-5.0.0,1.0,0.38461538461538464,0.5555555555555556,0.606541817675112
Within-release,RF,activemq-5.0.0,1.0,0.25,0.4,0.48768620837362
Within-release,RF,activemq-5.0.0,0.8,0.3333333333333333,0.47058823529411764,0.49779277678299105
Within-release,RF,activemq-5.0.0,1.0,0.16666666666666666,0.2857142857142857,0.3971222647875137
Within-release,RF,activemq-5.0.0,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.3140403614527098
Within-release,RF,activemq-5.0.0,0.75,0.25,0.375,0.41386989563609716
Within-release,RF,activemq-5.0.0,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.5715595018720835
Within-release,RF,activemq-5.1.0,0.0,0.0,0.0,-0.01651776035938858
Within-release,RF,activemq-5.1.0,0.5,0.1,0.16666666666666669,0.20726222667116512
Within-release,RF,activemq-5.1.0,0.3333333333333333,0.1,0.15384615384615383,0.1600789310426964
Within-release,RF,activemq-5.1.0,1.0,0.1,0.18181818181818182,0.3088821187205665
Within-release,RF,activemq-5.1.0,0.0,0.0,0.0,0.0
Within-release,RF,activemq-5.1.0,0.5,0.1,0.16666666666666669,0.20726222667116512
Within-release,RF,activemq-5.1.0,0.0,0.0,0.0,-0.01651776035938858
Within-release,RF,activemq-5.1.0,1.0,0.1,0.18181818181818182,0.3088821187205665
Within-release,RF,activemq-5.1.0,0.0,0.0,0.0,0.0
Within-release,RF,activemq-5.1.0,0.0,0.0,0.0,0.0
Within-release,RF,activemq-5.1.0,0.0,0.0,0.0,-0.01651776035938858
Within-release,RF,activemq-5.1.0,0.0,0.0,0.0,0.0
Within-release,RF,activemq-5.1.0,1.0,0.1,0.18181818181818182,0.3088821187205665
